Timestamp,Please select your country:,What region do you work in?,What city do you work in?,Are you a chartered engineer?,What province do you work in?,What city do you work in?,Select your highest level of professional attainment?,What state do you live in?,What is your highest level of professional attainment?,What state do you work in?,What city do you work in?,Select your highest level of professional attainment?,Select your highest level of education attainment,Company Name (Optional),Company Head Count,What is your job title?,Which best describes your participation in the Civil Engineering industry?,Which sub discipline do you work in?,Do you work in the Public or Private sector?,How many years of post-graduate experience do you have in Civil Engineering?,What is your current salary?,If you received a sign-on bonus how much was it?,How much did you earn in discretionary bonuses?,What is the maximum contribution offered by your employer as a percentage of your salary for an ESOP?,What is the maximum contribution offered by your employer as a percentage of your salary for a 401k?,If you are a compensated with commission how much was your commission?,Is health insurance available?,How many days of paid time off do you receive per  year? (Sick time + Vacation Time),How many days per week do/can you work from home?,How many hours per week do you work on average?,How are you compensated for overtime?,Are you actively looking to change jobs?,Does your employer offer any student loan reimbursement?,Do you have a company vehicle?,"What is your overall job satisfaction considering your pay, work-life balance, benefits, community standing, and all other factors?","What salary would it take for you to change employers for a similar role, assuming the benefits are the same?",If there is any additional relevant information about your job you feel someone who looks at your responses needs to know please provide it below.,Please select your gender,"How many hours of paternity leave does your company offer, if any?","How many hours of maternity leave does your company offer, if any?"
8/12/2022 12:50:25,United States of America,,,,,,,,,Massachusetts,Boston,None,Bachelors Degree,Boston Public Works Dept,7,Junior Engineer,Full Time,Transportation,Public,1,38000,0,0,0,0,0,No,0,0,35,Not compensated (Exempt),Yes,No,No,4,45000,,Male,0,0
8/12/2022 12:50:51,United States of America,,,,,,,,,New York,New York,EIT,Bachelors Degree,,6000,Civil Analyst,Full Time,Transportation,Private,2,92400,2500,11000,0,15000,0,Yes but I still pay a premium,17,1,48,Not compensated (Exempt),Yes,No,No,6,110000,,Male,Unsure,unsure
8/12/2022 12:53:38,United States of America,,,,,,,,,Kansas,Kansas City,EIT,Masters Degree,CDM Smith,5000,Water Resource Engineer ,Full Time,Water Resources,Private,2,60500,10000,0,5,5,0,Yes but I still pay a premium,14,3,40,Time and a half (1.5x),No,No,No,9,72000,,Male,0,3 months
8/12/2022 12:53:41,Canada,,,,Nova Scotia,Lantz,None,,,,,,High School Diploma,,500,Civil Engineer Co op,Full Time,Structural,Private,0,37000,0,0,0,0,0,No,0,0,40,Not compensated (Exempt),Yes,No,No,6,44000,,Male,0,0
8/12/2022 12:53:46,United States of America,,,,,,,,,California,Los Angeles ,EIT,Bachelors Degree,Caltrans,1000,Transportation Engineer ,Full Time,Transportation,Public,6,84000,,0,0,5,0,Yes and fully covered,16,5,40,Straight time (1.0x),Yes,Yes,No,7,110000,,Male,80,160
8/12/2022 12:55:50,United States of America,,,,,,,,,Idaho,Boise,PE,Bachelors Degree,,20,Senior Engineer,Full Time,Structural,Private,8,130000,0,3000,0,0,0,Yes but I still pay a premium,18,7,40,Straight time (1.0x),No,No,No,8,150000,I am fully remote in Idaho but working for a company based in California and most of my projects are in California,Male,unknown,unknown
8/12/2022 12:57:07,United States of America,,,,,,,,,New York,New York,PE,Masters Degree,WSP,70000,Senior Lead Consultant,Full Time,Bridges,Private,13,138000,0,0,0,3,0,Yes but I still pay a premium,Unlimited,5,50,Not compensated (Exempt),Yes,Yes,No,2,150000,,Male,120,120
8/12/2022 12:57:39,India,,,,,,,,,,,,Bachelors Degree,Lombardi Engineering India,150,Design Engineer,Full Time,Geotechnical,Private,3,900000,,0,0,0,0,Yes and fully covered,50,1,50,Not compensated (Exempt),Yes,No,No,7,1400000,The company specialises in underground tunnels which is a growing and niche field in India. There’s a big difference in compensation between entry/mid level engineers and those with 10+ years of experience given the speciality of the field in the country. All salary numbers are in INR. ,Male,87,1440
8/12/2022 12:57:47,United States of America,,,,,,,,,Michigan,Grand Rapids,PE,Bachelors Degree,,155,Project Engineer,Full Time,Transportation,Private,6,70000,,20000,4,4,0,Yes and fully covered,20,5,42,Time and a half (1.5x),No,No,No,9,100000,,Male,16,Unsure
8/12/2022 13:00:25,United States of America,,,,,,,,,Nevada,Las Vegas,EIT,Masters Degree,,100-200,Project Engineer ,Full Time,Environmental,Private,1,62000,,5200,3,3,0,Yes but I still pay a premium,20,5,40,Not compensated (Exempt),No,No,No,7,83000,,Female,,
8/12/2022 13:00:52,United States of America,,,,,,,,,South Carolina,Columbia,EIT,Doctorate Degree,,3000,Pavement Engineer,Full Time,Construction/Field,Public,2,63055,,0,5,0,0,Yes and fully covered,15,0,37.5,Not compensated (Exempt),No,No,No,9,75000,,Male,10,
8/12/2022 13:01:12,United States of America,,,,,,,,,Ohio,Columbus,PE,Masters Degree,Michael Baker Intl,3600,Civil Engineer I,Working in a different industry,Bridges,Private,4,86500,,3000,0,4.5,0,Yes but I still pay a premium,15,3,40,Straight time (1.0x),Yes,No,No,3,82000,I have quit to switch careers. Currently studying web dev.,Female,,400
8/12/2022 13:01:23,Canada,,,,Ontario,Sudbury,PE,,,,,,Masters Degree,,25,Intermediate Structural Engineer,Full Time,Structural,Private,7,100000,,0,0,3,0,Yes but I still pay a premium,21,0,40,Time and a half (1.5x),No,No,No,9,130000,,Male,0,
8/12/2022 13:01:48,Canada,,,,Ontario,Markham,EIT,,,,,,Bachelors Degree,,30,Structural EIT,Full Time,Bridges,Private,5,62000,,0,0,0,0,Yes and fully covered,6 and 2 weeks,3,40,Not compensated (Exempt),No,No,No,7,"85,000",,Male,Not sure ,Not sure 
8/12/2022 13:06:31,United States of America,,,,,,,,,Virginia,Richmond,PE,Bachelors Degree,,850,Senior Project Manager,Full Time,Land Development,Private,15,112000,0,10000,0,5,0,Yes but I still pay a premium,20,2,45,Not compensated (Exempt),Yes,Yes,No,5,120000,,Male,40,Not sure
8/12/2022 13:07:30,Canada,,,,British Columbia,Vancouver ,EIT,,,,,,Bachelors Degree,,350,Project Engineer 2,Full Time,Land Development,Private,4,72000,0,1200,0,0,0,Yes and fully covered,25,0,5,Not compensated (Exempt),No,No,No,8,80000,,Male,80,0
8/12/2022 13:07:33,United States of America,,,,,,,,,Texas,Fort Worth,EIT,Bachelors Degree,,200,Civil Engineer,Full Time,Government/Municipal,Public,1,71000,1500,5000,0,7.5,0,Yes and fully covered,14,1,45,Straight time (1.0x),No,No,No,8,"85,000",,Male,?,Unsure
8/12/2022 13:08:03,United States of America,,,,,,,,,Missouri,St. Louis,EIT,Bachelors Degree,,1800,Structural Engineer II,Full Time,Structural,Private,2,88000,2000,2000,0,3,0,Yes and fully covered,20,Totally up to the employee. I am starting out 2 days in the office but I may switch to only one day day in the office,40,Not compensated (Exempt),No,Yes,No,10,"95,000","Once I hit 2 years of working, I got a new job and raised my salary from $74,000 to $88,000.",Female,,Not sure
8/12/2022 13:08:27,United States of America,,,,,,,,,California,Concord,PE,Bachelors Degree,,200,Senior Engineer,Full Time,Government/Municipal,Public,20,160000,0,0,1.7,0,0,Yes and fully covered,29,2,40,Not compensated (Exempt),No,No,No,8,175000,,Male,0,0
8/12/2022 13:09:06,United States of America,,,,,,,,,Rhode Island,Lincoln,PE,Bachelors Degree,,130,Project Engineer,Full Time,Bridges,Public,11,100000,,5000,0,4,0,Yes but I still pay a premium,20,2,45,Straight time (1.0x),No,Yes,No,9,125000,,Male,0,80
8/12/2022 13:10:35,United States of America,,,,,,,,,Texas,Fort Worth,EIT,Bachelors Degree,,1000,Engineer II,Full Time,Land Development,Private,2,75000,,0,0,4,0,Yes but I still pay a premium,20,2,40,Straight time (1.0x),No,Yes,No,8,84000,,Prefer not to say,40,160
8/12/2022 13:11:03,United States of America,,,,,,,,,Oregon,Klamath Falls,PE,Bachelors Degree,Klamath County Public Works,200,Engineer II,Full Time,Transportation,Public,10,99960,0,0,0,1,0,Yes but I still pay a premium,20,5,40,Not compensated (Exempt),No,No,Yes,10,$120k +,,Male,0,0
8/12/2022 13:11:27,United States of America,,,,,,,,,Connecticut,Waterbury ,PE,Bachelors Degree,,550,Senior Inspector,Full Time,Construction/Field,Private,12,113000,,2000,0,6,0,Yes but I still pay a premium,30,0,40,Time and a half (1.5x),No,No,No,10,150000,,Male,0,320
8/12/2022 13:11:49,United States of America,,,,,,,,,Pennsylvania,Harrisburg,PE,Masters Degree,,1500,Project Engineer,Full Time,Bridges,Private,5,85000,0,0,0,3,0,Yes but I still pay a premium,17.5,0,40,Straight time (1.0x),No,Yes,No,8,100000,,Male,80,80
8/12/2022 13:13:01,Canada,,,,Alberta,Edmonton ,PE,,,,,,Bachelors Degree,,120,Designer ,Full Time,Land Development,Private,7,100000,,10000,0,0,0,Yes and fully covered,20,5,36,Straight time (1.0x),No,No,No,8,120000,,Male,Unknown ,
8/12/2022 13:13:14,United States of America,,,,,,,,,Nebraska,Omaha,EIT,Bachelors Degree,USACE,1100,Geotechnical Engineer,Full Time,Geotechnical,Public,2,67000,,1000,0,5,0,Yes but I still pay a premium,26,0,40,Straight time (1.0x),No,Yes,No,9,80000,,Male,0,
8/12/2022 13:13:16,United States of America,,,,,,,,,Utah,Ogden,EIT,Bachelors Degree,,800+,Roadway EIT,Full Time,Transportation,Private,0,70000,,0,0,3,0,Yes and fully covered,20,5,42,Straight time (1.0x),No,No,No,8,80000,,Male,80,240
8/12/2022 13:14:16,United States of America,,,,,,,,,Louisiana,Metairie,PE,Bachelors Degree,,75,Civil Engineer,Full Time,Transportation,Private,8,95000,,4000,0,4,0,Yes but I still pay a premium,15,0,40,Not compensated (Exempt),No,No,No,7,"115,000",,Male,0,0
8/12/2022 13:16:38,United States of America,,,,,,,,,Georgia,Atlanta,EIT,Bachelors Degree,,1000,Highway Engineer,Full Time,Transportation,Private,0,67000,3000,0,0,3.5,0,Yes but I still pay a premium,15,1,40,Straight time (1.0x),No,Yes,No,6,80000,,Male,0,
8/12/2022 13:16:51,United States of America,,,,,,,,,West Virginia,Huntington,PE,Masters Degree,USACE,37000,Lead Engineer,Full Time,General Civil,Public,7,98000,15000,0,0,5,0,Yes but I still pay a premium,35,5,40,Straight time or comp time,No,Yes,No,8,115000,"Working for the Army Corps is a nice job, but comes with a lot of red tape. Can be slow and frustrating.",Male,480,480
8/12/2022 13:17:30,United States of America,,,,,,,,,New York,Suffolk County,EIT,Bachelors Degree,,85,Junior Engineer,Full Time,Construction/Field,Private,4.5,78000,0,0,0,3.5,0,Yes and fully covered,28,0,40,Time and a half (1.5x),No,Yes,No,7,85000,,Male,0,O
8/12/2022 13:17:42,United States of America,,,,,,,,,Washington,Seattle,PE,Bachelors Degree,,1500,Sr Civil Engineer,Full Time,Construction/Field,Public,6,120000,,0,0,0,0,Yes and fully covered,30,Varies. 0~5 depending on field activities.,40,Time and a half (1.5x),No,Yes,Yes,9,150000,,Male,480,480
8/12/2022 13:18:45,United States of America,,,,,,,,,Texas,Austin,PE,Bachelors Degree,,81,Engineer IV ,Full Time,Water Resources,Private,6,94000,5000,10000,0,4,0,Yes and fully covered,20,2,43,Not compensated (Exempt),No,No,No,7,120000,,Female,,16
8/12/2022 13:18:52,United States of America,,,,,,,,,Kansas,Kansas City,PE,Bachelors Degree,(Real Estate Developer),400,Development Manager,Applying engineering skills in untraditional role,Land Development,Private,6,115000,10000,20000,0,6,200000,Yes and fully covered,unlimited,unliminted,70,Not compensated (Exempt),No,Yes,No,8,200000 + same profit share %,Travel almost weekly for multiple nights and sometimes with no advance notice. Extremely stressful at times. Chaotic juggling multiple projects with dozens of stakeholders and consultants. 20% applied civil engineering skills and 80% is project management.,Male,40,
8/12/2022 13:19:52,United States of America,,,,,,,,,Hawaii,Honolulu,EIT,Bachelors Degree,,160,Civil engineer II,Full Time,Water Resources,Private,4,70000,0,0,1000,3,0,Yes but I still pay a premium,15,0,45,Not compensated (Exempt),No,No,No,7,75000,,Male,160,400
8/12/2022 13:21:51,United States of America,,,,,,,,,Texas,Dallas,EIT,Bachelors Degree,,60000,Intermediate Engineer,Full Time,Government/Municipal,Private,3.5,81300,,0,20,4,0,Yes and fully covered,15,3,40,Straight time (1.0x),No,No,No,9,100000,,Male,40,40
8/12/2022 13:22:17,United States of America,,,,,,,,,Missouri,Kansas City,PE,Bachelors Degree,,1000,Project Engineer,Full Time,Transportation,Private,7,95000,,1500,0,4,0,Yes and fully covered,25,3,46,Straight time (1.0x),No,Yes,Yes,5,120000,,Male,2 weeks,
8/12/2022 13:22:25,United States of America,,,,,,,,,Pennsylvania,Pittsburgh,EIT,Bachelors Degree,Senate Engineering Company,24,Project Engineer,Full Time,Water Resources,Private,1,70950,,250,0,3,0,Yes but I still pay a premium,15,0,40,Straight time (1.0x),No,No,No,7,80000,"I'm the youngest in the office by 10 years, and the company has lost numerous young engineer's in the past months before I joined.",Male,0,
8/12/2022 13:22:31,United States of America,,,,,,,,,Texas,Austin,EIT,Bachelors Degree,,50,Engineer in Training ,Full Time,Water Resources,Public,1,78000,3000,0,0,4,0,Yes but I still pay a premium,15,2,40,Not compensated (Exempt),No,No,No,8,93000,,Male,80,80
8/12/2022 13:22:58,United States of America,,,,,,,,,Pennsylvania,Philadelphia,None,Bachelors Degree,,21,Sr CAD Designer,Full Time,Land Development,Private,6,85000,,8000,0,3,0,Yes but I still pay a premium,20,5,42,Not compensated (Exempt),No,Yes,No,8,"Right now, nothing. I sought this job due to dissatisfaction with my previous employer and am happy here.",,Male,0,0
8/12/2022 13:23:05,United States of America,,,,,,,,,California,Los Angeles,EIT,Bachelors Degree,,300,Assistant Engineer,Full Time,Government/Municipal,Public,1,75000,,0,0,0,0,Yes and fully covered,15,0,40,Time and a half (1.5x),No,Yes,No,8,90000,Graduated with a mechanical engineering degree and worked for 7 years before getting a job in municipal government. Now wanting to focus on traffic engineering and trying to get a PE in Civil and Traffic.,Male,0,0
8/12/2022 13:23:44,United States of America,,,,,,,,,Indiana,Evansville ,PE,Bachelors Degree,,300,Project Engineer ii,Full Time,Water Resources,Private,7,82000,,3000,5,5,0,Yes but I still pay a premium,15,2,40,Straight time (1.0x),No,No,No,8,90000,,Female,,40
8/12/2022 13:23:51,United States of America,,,,,,,,,New York,New York City,EIT,Bachelors Degree,,75000,Engineer Trainee,Full Time,Transportation,Public,0,73624,,0,0,8,0,Yes and fully covered,27,1,37.5,Straight time (1.0x),No,Yes,No,8,"$100,000",,Male,0,0
8/12/2022 13:25:18,United States of America,,,,,,,,,Virginia,Herndon ,PE,Bachelors Degree,Jacobs ,50000,Structural Engineer,Full Time,Structural,Private,6,88000,,0,0,6,0,Yes and fully covered,17,All,40,Straight time (1.0x),No,No,No,8,100000,,Male,Unknown,
8/12/2022 13:26:07,United States of America,,,,,,,,,New York,New York City,None,Masters Degree,,2500-3000,Project Manager ,Full Time,Transportation,Private,9,131000,,0,10,4,0,Yes but I still pay a premium,15,5,50,Not compensated (Exempt),No,Yes,No,8,150000,,Male,0,0
8/12/2022 13:26:17,United States of America,,,,,,,,,North Carolina,Asheville,PE,Bachelors Degree,,"20,000+",Civil Engineer III,Full Time,Water Resources,Private,7,77000,,1000,0,3,0,Yes but I still pay a premium,20,5,40,Straight time (1.0x),No,No,No,7,"More money, same work life balance",,Male,80,unsure
8/12/2022 13:26:19,United States of America,,,,,,,,,California,San Diego,EIT,Bachelors Degree,,250,Project Engineer,Full Time,Water Resources,Private,3.5,84000,,2000,0,0,0,Yes and fully covered,15,5,40-50,Not compensated (Exempt),No,No,No,8,95000,,Male,unsure,unsure
8/12/2022 13:26:34,United States of America,,,,,,,,,New York,New York,EIT,Bachelors Degree,,2000,Assistant Project Engineer,Full Time,Government/Municipal,Public,3,73000,,0,0,3,0,Yes but I still pay a premium,28,2,40,Not compensated (Exempt),No,Yes,No,7,90000,,Female,,
8/12/2022 13:27:15,United States of America,,,,,,,,,Iowa,Des Moines,PE,Bachelors Degree,SEH,600,Engineer 2,Full Time,Transportation,Public,12,92000,,2000,9000,2,0,Yes and fully covered,21,5,40,Not compensated (Exempt),No,No,No,8,105000,,Male,0,0
8/12/2022 13:27:52,United States of America,,,,,,,,,Illinois,Chicago,None,Bachelors Degree,,500,Project Engineer,Full Time,Land Development,Private,7,95000,,4000,0,3,0,Yes but I still pay a premium,20,3,40,Not compensated (Exempt),No,Yes,No,8, ,,Male,0,
8/12/2022 13:28:15,United States of America,,,,,,,,,North Carolina,Elizabeth City,EIT,Bachelors Degree,NCDOT,9000,Transportation Engineering Associate ,Full Time,Construction/Field,Public,1,67000,,0,6,0,0,Yes and fully covered,28,0,40,Time and a half (1.5x),No,Yes,No,8,"78,000",,Male,320,
8/12/2022 13:29:12,United States of America,,,,,,,,,Utah,Salt Lake City,EIT,Bachelors Degree,,60,Staff Engineer,Full Time,Water Resources,Private,2,70,,2000,0,3,0,Yes and fully covered,15,2,40,Time and a half (1.5x),No,No,No,8,85,,Male,0,240
8/12/2022 13:30:24,United States of America,,,,,,,,,Texas,N/A,EIT,Masters Degree,,100,Construction Claims Consultant,Full Time,Construction/Field,Private,10,190000,0,50000,15,4,0,Yes and fully covered,20,5,50,Not compensated (Exempt),No,No,No,7,250000,,Prefer not to say,0,0
8/12/2022 13:30:39,United States of America,,,,,,,,,Colorado,Denver,None,Bachelors Degree,,120,Utility Engineer,Full Time,Subsurface Utility Engineering,Private,5,86000,,3000,0,4,0,Yes but I still pay a premium,21,5,40,Straight time (1.0x),No,No,Yes,9,100000,,Male,120,300
8/12/2022 13:31:44,United States of America,,,,,,,,,Connecticut,Newington ,EIT,Bachelors Degree,CTDOT,2000+,Transportation Engineer 2,Full Time,Transportation,Public,2,86000,0,0,0,1,0,Yes and fully covered,30,3,40,Time and a half (1.5x),No,No,No,9,110000,,Male,2 weeks,Unsure 
8/12/2022 13:32:54,United States of America,,,,,,,,,Texas,Houston,PE,Masters Degree,,1200,Project Manager,Full Time,Water Resources,Private,3.5,86000,500,2500,2,3,0,Yes but I still pay a premium,15,2,48,Not compensated (Exempt),Yes,No,No,8,110000,,Male,40,40
8/12/2022 13:33:55,United States of America,,,,,,,,,Colorado,Aurora ,EIT,Bachelors Degree,,6000,Transportation engineer,Full Time,Transportation,Public,4,72000,,500,0,0,0,Yes but I still pay a premium,192,2,40,Not compensated (Exempt),No,No,Yes,6,90000,,Non-binary or neutral,12 weeks ,12 weeks 
8/12/2022 13:34:09,United States of America,,,,,,,,,South Carolina,Columbia,EIT,Bachelors Degree,W.K. Dickson,250,Engineering Designer,Full Time,Aviation,Private,1,68250,3000,0,0,6,0,Yes but I still pay a premium,18,Flexible Schedule,40,Not compensated (Exempt),No,No,No,10,75000,,Male,40,3 months
8/12/2022 13:34:54,United States of America,,,,,,,,,Ohio,Cincinnati,PE,Bachelors Degree,,50,Project Engineer,Full Time,Geotechnical,Private,7,76000,,1200,0,3,0,Yes but I still pay a premium,20,0,40,Not compensated (Exempt),No,No,Yes,7,90000,,Male,0,
8/12/2022 13:35:40,United States of America,,,,,,,,,New York,New York City,PE,Masters Degree,,100,Project Engineer,Full Time,Bridges,Private,10,145000,0,0,0,6,0,Yes but I still pay a premium,20,0,50,Only on Weekends,No,Yes,Yes,7,165000,Hard work and occasionally satisfying!,Male,360,360
8/12/2022 13:37:13,United States of America,,,,,,,,,Oregon,Portland,PE,Bachelors Degree,,2000,Director,Full Time,Construction/Field,Private,15,155000,,30000,0,3,0,Yes but I still pay a premium,20,3,55,Not compensated (Exempt),Yes,No,No,4,No longer a function of money but of quality of life. ,,Male,24,24
8/12/2022 13:39:20,United States of America,,,,,,,,,Pennsylvania,Harrisburg,EIT,Masters Degree,,1500,Staff Engineer,Full Time,Transportation,Private,1,66000,2000,0,0,6,0,Yes but I still pay a premium,18,3,40,Straight time (1.0x),No,Yes,No,9,71000,,Female,,80
8/12/2022 13:39:28,United States of America,,,,,,,,,New Jersey,Central & South Jersey,EIT,Bachelors Degree,,Small,Assistant PM & Super,Full Time,Drilling & Pile Driving,Private,6,89000,0,5000,0,400,0,Yes and fully covered,25,0,9,Only 1.5x if work weekend,No,No,Yes,8,95000,,Male,Not sure,Not sure
8/12/2022 13:40:01,United States of America,,,,,,,,,Pennsylvania,Philadelphia,PE,Masters Degree,Michael Baker International,3500,Civil Engineer II,Full Time,Transportation,Private,8.5,95000,0,0,0,4.5,0,Yes but I still pay a premium,20,3,40,Straight time (1.0x),Yes,No,No,5,115000,,Male,80,80
8/12/2022 13:41:08,United States of America,,,,,,,,,California,Long Beach,EIT,Masters Degree,,1000,Structural Associate,Full Time,Structural,Private,1,82000,0,1350,0,4.5,0,Yes and fully covered,15,3,40,Time and a half (1.5x),No,No,No,7,90000,,Male,0,
8/12/2022 13:41:29,United States of America,,,,,,,,,Illinois,Chicago,PE,Masters Degree,Federal Govt,1700,Senior Civil Engineer,Full Time,Water Resources,Public,22,149000,,3000,0,5,0,Yes but I still pay a premium,39,3,40,Comp time off,No,Yes,No,9,180000,,Male,480,480
8/12/2022 13:41:34,United States of America,,,,,,,,,Texas,Houston,EIT,Bachelors Degree,LJA Eng,1400,Graduate Engineer 3,Full Time,Water Resources,Private,3,75000,3000,3000,12,2,0,Yes and fully covered,15,1-2,42,Straight time (1.0x),No,No,No,8,"90,000",,Male,80,160
8/12/2022 13:42:31,United States of America,,,,,,,,,Oregon,Portland,EIT,Bachelors Degree,Consor,3000?,Civil Designer ,Full Time,Transportation,Private,3.5,75000,,2000,0,6,0,Yes but I still pay a premium,20,5,40,Straight time (1.0x),No,No,No,7,82000,,Male,?,?
8/12/2022 13:43:36,United States of America,,,,,,,,,California,San Diego ,PE,Bachelors Degree,,300,Director ,Full Time,Geotechnical,Private,14,140000,0,10000,0,1.5,0,Yes but I still pay a premium,15,0,55,Not compensated (Exempt),No,No,Yes,6,160000,I hate work,Male,0,0
8/12/2022 13:43:48,United Kingdom,East of England,Hertford ,Yes,,,,,,,,,Bachelors Degree,,~6000,Strategy and Programme Manager,Full Time,Transportation,Public,10,42000,,0,0,0,0,No,30,5,40,Not compensated (Exempt),No,No,No,1,70000+,,Male,40,
8/12/2022 13:44:25,United States of America,,,,,,,,,Nevada,Las Vegas,EIT,Bachelors Degree,USAF,329000,Civil Engineer Officer,Full Time,Government/Municipal,Public,3,95573.35,,0,0,5,0,Yes and fully covered,30 days,0,57,Not compensated (Exempt),No,Yes,No,7,85000,,Female,,240
8/12/2022 13:45:16,United States of America,,,,,,,,,Florida,Sarasota,PE,Bachelors Degree,,153,Engineering Manager,Full Time,Water Resources,Public,12,107000,,0,0,5,0,Yes and fully covered,22,2,45,Not compensated (Exempt),No,No,No,7,130000,,Male,0,0
8/12/2022 13:45:34,United States of America,,,,,,,,,California,Livermore ,None,Bachelors Degree,,"15,000",Facilities Civil and Structural Engineer,Full Time,Structural,Public,5.5,117000,,0,0,10,0,Yes and fully covered,30,3-4,40,Not compensated (Exempt),No,No,No,9,"150,000","Working 9/80 schedule,I can buy additional vacation at the beginning of the year, variety of work ",Male,6 weeks ,6 weeks
8/12/2022 13:45:51,United States of America,,,,,,,,,Missouri,Springfield,EIT,Bachelors Degree,,330,Junior Engineer,Full Time,Land Development,Private,3,70000,0,0,0,5,0,Yes and fully covered,15,5,40,Not compensated (Exempt),No,No,No,7,120000,,Male,not sure,not sure
8/12/2022 13:47:03,Canada,,,,British Columbia,Vancouver,PE,,,,,,Masters Degree,,2000,CE2,Full Time,Government/Municipal,Public,5,108000,0,0,0,8,0,Yes and fully covered,25,4,40,Not compensated (Exempt),No,No,No,10,140000,,Male,1000,
8/12/2022 13:47:06,United States of America,,,,,,,,,Oregon,Bend,EIT,Bachelors Degree,,250,Transportation Analyst,Full Time,Transportation,Private,1,75000,2000,3000,0,15,0,Yes but I still pay a premium,23,0,42,Not compensated (Exempt),No,No,No,9,100000,,Male,0,unknown
